jaded,-3
jail*,-2
jealous*,-3
jeer*,-3
jeopardise*,-2
jeopardize*,-2
jeopardy,-2
jerk,-3
jerked,-1
jerks,-3
jittery,-2
jobless,-2
joke*,2
joking,3
joll*,3
jolliet,1
joy*,3
joyrid*,-2
joystick,1
jumpy,-2
junk,-2
keen*,1
kick*,-2
kidding,1
kidnap,-2
kill,-2
killed,-4
killer,-2
killing,-2
killjoy,-2
kind,2
kindly,2
kindn*,2
kiss*,3
knife,-2
lack,-2
laidback,2
lame*,-3
lament*,-2
languish,-2
lapse,-2
laugh*,2
laughable,-2
laughingstock*,-3
lawless,-2
lawsuit,-2
lazie*,-2
lazily,-2
lazy,-2
leak,-2
leakage,-2
leaking,-2
liabilit*,-3
liable,-2
liar*,-3
libel,-3
lied,-3
lies,-3
lifeless,-2
like,2
likeab*,3
liked,3
likes,3
liking,3
limitation,-2
limp,-2
liquidate*,-2
liquidation*,-2
litig*,-2
litter*,-2
livel*,2
livelihood,1
lmao,3
lol,2
lolol*,2
lone*,-2
longing*,-3
lose,-2
loser*,-3
loses,-2
losing,-3
loss*,-3
lost,-1
lous*,-3
love,3
loved,4
loveless*,-3
loveli*,3
lovely,2
lovemak*,4
lover*,4
loves,3
lovin,3
loving*,4
low*,-2
lower*,1
loyal*,2
luck,3
lucked,3
lucki*,3
luckless*,-3
lucks,3
lucky,2
ludicrous*,-3
lull,-2
lunatic,-2
lunkhead,-2
lure,-2
lurk,-1
luv,3
lying,-4
mad,-2
madden*,-3
madder,-3
maddest,-3
madly,2
madman,-2
madmen,-2
madness,-2
magnific*,4
magnification,1
maladjusted,-2
maladjustment,-2
malady,-2
malice,-4
malicious*,-4
malign,-3
malignan*,-4
mangle,-2
maniac*,-3
manipulat*,-2
manslaughter,-4
mar,-2
marginal,-2
martyr*,-2
masochis*,-3
massacre*,-2
mate,2
meager*,-2
meanie,-2
meaningless*,-2
meddle,-2
mediocr*,-2
meek*,-2
melanchol*,-4
melodramatic*,-2
menace,-3
menial,-2
merciless*,-2
merit*,2
merr*,2
mess,-1
messy,-1
miraculous,3
misbehave*,-2
misbehavior,-2
mischief,-2
mischievous*,-2
miser*,-3
misfortune*,-2
mishandle*,-2
mishap,-2
misinform*,-2
mislead,-2
misrepresent*,-2
miss,-2
missed,-2
misses,-3
mistak*,-2
mistrust*,-2
misunderst*,-2
misuse,-2
moan,-2
mock,-3
mocked,-3
mocker*,-3
mocking,-3
mockingbird,1
mocks,-3
mogoloid,-2
molest*,-4
momentous,3
mong,-2
monotonous*,-2
monotony,-2
monster,-2
monstrous*,-3
mooch*,-2
moodi*,-3
moody,-3
moron*,-3
mortif*,-3
motherfucker,-4
motionless,-2
motley,-2
mourn*,-3
muah,3
muddle*,-2
muddy,-2
mumble*,-2
mundane,-2
murder*,-4
murky,-2
muthafuck*,-4
mutter,-2
nag*,-2
naga*,1
naive*,-2
nast*,-3
nasturtium,1
naughty,-2
nazi*,-2
neat*,1
nebulous*,-2
needy,-2
negativ*,-2
neglect*,-1
negligen*,-3
nerd*,-3
nervous*,-3
neurotic*,-3
neutralize*,-2
nice*,2
nightmare,-3
nimble,2
nincompoop,-2
ninny,-2
nix,-2
noise,-1
nonchalant,-1
nonsens*,-2
nosey,-2
notorious*,-2
novice,-2
noxious*,-3
nucklehead*,-2
nuisance,-2
nullification*,-2
nullify,-2
numb*,-2
number*,1
numpty,-2
nurtur*,1
nutcase*,-2
nutter*,-2
oaf,-2
obes*,-2
objection*,-2
oblique,-2
obliterate*,-2
obnoxious*,-3
obscure,-1
obsess*,-3
obsolete,-2
obstacle*,-2
obstinate*,-2
obstruct*,-2
obstruction*,-2
odd,-1
oddity,-2
offence*,-2
offend*,-3
offender,-2
offens*,-3
ok,1
okay,1
okays,1
oks,1
omfg,2
omg,2
ominous*,-3
omissions,-2
omit,-2
openminded*,1
openness,1
opinionated,-2
opponent,-2
opportun*,1
oppose,-2
opposition,-2
oppress*,-3
optimal*,1
optimi*,1
optimism,2
optimistic*,2
ordeal*,-3
original,1
orphan,-2
ostracize,-2
oust,-2
outbreak*,-2
outburst*,-2
outcast,-2
outcry,-3
outgoing,1
outlaw*,-2
outrag*,-3
outsider*,-2
outstanding,3
overbearing,-2
overflow*,-2
overjoyed,5
overlook*,-2
overpower*,-2
overrun,-2
oversight*,-2
overthrow*,-2
overturn*,-2
overweight,-2
overwhelm*,-3
overwork*,-2
owe,-2
pain,-4
pained,-2
painf*,-4
paining,-4
painl*,2
pains,-4
palatabl*,2
paltry,-2
pambering,3
pamper,2
pampered,3
pampers,1
pandemonium,-2
panic*,-3
paradise,4
paralysis,-2
paralyzed,-2
paranoi*,-3
parasit*,-3
partie*,1
partition*,-2
party*,1
passe,-2
passion*,3
pathetic*,-3
peace*,1
peculiar*,-1
perfect*,2
perfectionis*,1
peril*,-2
perish*,-2
perplex*,-2
persecut*,-3
perturb*,-2
perver*,-2
pessimis*,-3
pest,-2
petrif*,-4
pettie*,-1
petty*,-1
phobi*,-3
picturesque,2
piffle,-2
pillock,-2
pinch,-2
pinhead,-2
piss*,-3
pissup*,1
piti*,-3
pity* ,-2
plague*,-2
plaintiff,-2
play,1
played,1
playful*,2
playing,2
plays,2
pleasant*,3
please*,2
pleasing*,3
pleasur*,3
plight,-2
plod,-2
plonker,-2
pointless,-2
poison*,-3
pollut*,-2
pompous*,-2
poor*,-2
poppycock,-2
popularis*,1
popularity,2
populariz*,1
positiv*,3
positivi*,1
pout*,-2
poverty,-2
powerless*,-2
prais*,3
prannock*,-2
prat,-2
precarious*,-2
precious*,3
precipitate*,-2
predicament*,-2
prejudic*,-3
preposterous*,-2
pressur*,-2
presumptuous*,-3
pretend,-2
pretense,-2
pretentious*,-2
prettie*,3
prettily,2
pretty,3
priceless,4
prick*,-3
prickle,1
pride,2
prison*,-2
privileg*,2
prize*,3
problem*,-2
procrastinat*,-2
prod,-2
profit*,2
profiteer*,-2
profitless*,-2
